week,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-01 2020-01-08,Alabama,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Alaska,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arizona,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arkansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,California,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Colorado,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Connecticut,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Delaware,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,District of Columbia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Florida,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Georgia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Hawaii,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Idaho,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Illinois,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Indiana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Iowa,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kentucky,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Louisiana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maine,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maryland,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Massachusetts,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Michigan,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Minnesota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Mississippi,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Missouri,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Montana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nebraska,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nevada,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Hampshire,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Jersey,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Mexico,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New York,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Carolina,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Dakota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Ohio,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oklahoma,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oregon,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Pennsylvania,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Rhode Island,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Carolina,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Dakota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Tennessee,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Texas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Utah,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Vermont,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Virginia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Washington,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,West Virginia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wisconsin,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wyoming,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alabama,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alaska,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arizona,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arkansas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,California,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Colorado,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Connecticut,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Delaware,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,District of Columbia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Florida,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Georgia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Hawaii,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Idaho,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Illinois,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Indiana,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Iowa,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Kansas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Kentucky,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Louisiana,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Maine,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Maryland,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Massachusetts,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Michigan,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Minnesota,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Mississippi,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Missouri,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Montana,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Nebraska,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Nevada,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,New Hampshire,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,New Jersey,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,New Mexico,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,New York,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,North Carolina,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,North Dakota,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Ohio,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Oklahoma,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Oregon,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Pennsylvania,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Rhode Island,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Carolina,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Dakota,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Tennessee,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Texas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Utah,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Vermont,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Virginia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Washington,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,West Virginia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wisconsin,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wyoming,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alabama,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alaska,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arizona,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arkansas,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,California,73,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Colorado,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Connecticut,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Delaware,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,District of Columbia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Florida,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Georgia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Hawaii,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Idaho,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Illinois,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Indiana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Iowa,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kansas,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kentucky,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Louisiana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Maine,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Maryland,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Massachusetts,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Michigan,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Minnesota,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Mississippi,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Missouri,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Montana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Nebraska,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Nevada,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New Hampshire,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New Jersey,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New Mexico,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New York,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,North Carolina,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,North Dakota,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Ohio,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Oklahoma,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Oregon,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Pennsylvania,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Rhode Island,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,South Carolina,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,South Dakota,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Tennessee,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Texas,100,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Utah,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Vermont,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Virginia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Washington,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,West Virginia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Wisconsin,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Wyoming,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Alabama,13,0,0,0,89,0,0,0
2020-01-22 2020-01-29,Alaska,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Arizona,0,0,0,71,54,0,0,0
2020-01-22 2020-01-29,Arkansas,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,California,6,100,20,54,9,67,54,0
2020-01-22 2020-01-29,Colorado,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Connecticut,14,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Delaware,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,District of Columbia,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Florida,7,0,28,22,17,0,100,0
2020-01-22 2020-01-29,Georgia,0,0,54,41,0,0,0,0
2020-01-22 2020-01-29,Hawaii,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Idaho,39,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Illinois,4,85,0,69,0,100,0,0
2020-01-22 2020-01-29,Indiana,19,0,0,82,0,0,0,0
2020-01-22 2020-01-29,Iowa,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Kansas,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Kentucky,14,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Louisiana,0,0,0,0,100,0,0,0
2020-01-22 2020-01-29,Maine,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Maryland,9,0,100,75,57,0,0,0
2020-01-22 2020-01-29,Massachusetts,7,0,82,62,0,0,0,0
2020-01-22 2020-01-29,Michigan,6,0,0,51,0,0,0,0
2020-01-22 2020-01-29,Minnesota,0,0,0,88,0,0,0,0
2020-01-22 2020-01-29,Mississippi,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Missouri,0,0,0,80,61,0,0,0
2020-01-22 2020-01-29,Montana,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Nebraska,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Nevada,18,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New Hampshire,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New Jersey,0,0,0,100,0,0,0,0
2020-01-22 2020-01-29,New Mexico,31,0,0,0,0,0,0,0
2020-01-22 2020-01-29,New York,6,0,28,21,16,61,0,0
2020-01-22 2020-01-29,North Carolina,5,0,0,44,0,0,0,0
2020-01-22 2020-01-29,North Dakota,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Ohio,5,100,53,41,0,0,0,0
2020-01-22 2020-01-29,Oklahoma,17,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Oregon,13,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Pennsylvania,4,0,0,37,0,0,0,0
2020-01-22 2020-01-29,Rhode Island,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,South Carolina,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,South Dakota,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Tennessee,17,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Texas,6,0,21,27,12,71,37,0
2020-01-22 2020-01-29,Utah,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Vermont,100,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Virginia,0,0,67,51,0,0,0,0
2020-01-22 2020-01-29,Washington,14,0,0,63,49,0,0,0
2020-01-22 2020-01-29,West Virginia,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Wisconsin,10,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Wyoming,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Alabama,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Alaska,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Arizona,19,0,0,100,0,0,0,0
2020-01-29 2020-02-05,Arkansas,55,0,0,0,0,0,0,0
2020-01-29 2020-02-05,California,7,38,28,25,13,100,52,0
2020-01-29 2020-02-05,Colorado,0,0,0,56,0,0,0,0
2020-01-29 2020-02-05,Connecticut,0,0,0,85,0,0,0,0
2020-01-29 2020-02-05,Delaware,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,District of Columbia,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Florida,0,35,100,23,0,0,57,0
2020-01-29 2020-02-05,Georgia,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Hawaii,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Idaho,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Illinois,9,55,80,36,0,0,0,0
2020-01-29 2020-02-05,Indiana,0,0,0,58,0,0,0,0
2020-01-29 2020-02-05,Iowa,0,0,0,0,100,0,0,0
2020-01-29 2020-02-05,Kansas,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Kentucky,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Louisiana,34,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Maine,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Maryland,0,0,0,52,0,0,0,0
2020-01-29 2020-02-05,Massachusetts,16,100,0,65,35,0,0,0
2020-01-29 2020-02-05,Michigan,28,0,0,37,30,0,0,0
2020-01-29 2020-02-05,Minnesota,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Mississippi,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Missouri,0,0,0,59,0,0,0,0
2020-01-29 2020-02-05,Montana,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Nebraska,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Nevada,44,0,0,0,0,0,0,0
2020-01-29 2020-02-05,New Hampshire,100,0,0,0,0,0,0,0
2020-01-29 2020-02-05,New Jersey,13,0,0,35,28,0,0,0
2020-01-29 2020-02-05,New Mexico,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,New York,8,34,49,29,12,0,56,0
2020-01-29 2020-02-05,North Carolina,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,North Dakota,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Ohio,0,0,0,55,0,0,0,0
2020-01-29 2020-02-05,Oklahoma,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Oregon,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Pennsylvania,10,61,0,26,22,0,100,0
2020-01-29 2020-02-05,Rhode Island,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,South Carolina,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,South Dakota,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Tennessee,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Texas,17,0,38,12,9,54,43,0
2020-01-29 2020-02-05,Utah,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Vermont,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Virginia,14,0,0,72,0,0,0,0
2020-01-29 2020-02-05,Washington,17,0,0,44,36,0,0,0
2020-01-29 2020-02-05,West Virginia,0,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Wisconsin,23,0,0,0,0,0,0,0
2020-01-29 2020-02-05,Wyoming,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alabama,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Alaska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Arizona,0,0,0,80,0,0,0,0
2020-02-05 2020-02-12,Arkansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,California,6,0,0,20,15,55,0,0
2020-02-05 2020-02-12,Colorado,41,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Connecticut,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Delaware,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,District of Columbia,100,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Florida,0,0,0,24,0,100,0,0
2020-02-05 2020-02-12,Georgia,12,0,0,76,0,0,0,0
2020-02-05 2020-02-12,Hawaii,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Idaho,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Illinois,9,0,0,0,44,0,0,0
2020-02-05 2020-02-12,Indiana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Iowa,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kansas,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Kentucky,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Louisiana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maine,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Maryland,19,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Massachusetts,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Michigan,14,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Minnesota,23,0,0,100,0,0,0,0
2020-02-05 2020-02-12,Mississippi,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Missouri,22,0,0,95,0,0,0,0
2020-02-05 2020-02-12,Montana,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nebraska,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Nevada,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Hampshire,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New Jersey,13,0,100,57,0,0,0,0
2020-02-05 2020-02-12,New Mexico,69,0,0,0,0,0,0,0
2020-02-05 2020-02-12,New York,5,0,0,47,26,0,0,0
2020-02-05 2020-02-12,North Carolina,0,0,0,51,57,0,0,0
2020-02-05 2020-02-12,North Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Ohio,0,0,0,0,100,0,0,0
2020-02-05 2020-02-12,Oklahoma,41,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Oregon,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Pennsylvania,10,100,0,0,49,0,0,0
2020-02-05 2020-02-12,Rhode Island,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Carolina,28,0,0,0,0,0,0,0
2020-02-05 2020-02-12,South Dakota,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Tennessee,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Texas,0,0,0,37,0,0,0,0
2020-02-05 2020-02-12,Utah,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Vermont,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Virginia,14,0,0,60,0,0,0,0
2020-02-05 2020-02-12,Washington,0,0,0,73,0,0,0,0
2020-02-05 2020-02-12,West Virginia,0,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wisconsin,23,0,0,0,0,0,0,0
2020-02-05 2020-02-12,Wyoming,0,0,0,0,0,0,0,0
